出典,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解番号,解説
統一基準ガイドライン 遵守事項2.1.1(4)(d),ガイドラインにおける「所管する情報システム」の考え方として、適切な説明はどれだお？,アプリケーションの開発段階のみを対象とし、運用開始後は対象外となるシステムのこと。,他の省庁が企画・構築したシステムを単に利用するだけのシステム全般のこと。,企画・要件定義から公開・廃棄までのライフサイクル全般における事務の責任を主に負っているシステムのこと。,情報システム部門の職員が個人的に開発・テストしている試験的なシステムのこと。,3,【結論】正解は3だお！ゆりかごから墓場まで（企画から廃棄まで）責任を持つシステムのことだお！ 【根拠】「所管する」というのは、単に「使っている」だけではなく、そのシステムのライフサイクル（誕生＝企画・要件定義 から、死＝廃棄 まで）全般にわたって責任を持つということだお！だから、他が用意した「政府共通利用型システム」を単に利用するだけの立場なら、原則として「所管」には該当しないんだお（ただし管理規程で責任範囲が定められている場合は別だお）。システムのオーナーシップ（所有権と責任）がどこにあるかを明確にする重要な概念だお！
統一基準ガイドライン 遵守事項2.1.1(4)(d),「情報システムセキュリティ責任者」の選任タイミングについて、ガイドラインで定められている適切な時期はいつだお？,システムの運用が安定した運用開始から半年後まで,システムの設計がすべて完了し、開発作業が始まる直前まで,システムの本番環境への移行が完了し、公開される直前まで,所管する新規の情報システムについて企画に着手するまで,4,【結論】正解は4だお！セキュリティは「後乗せ」できないから、企画のスタート地点から責任者を決める必要があるお！ 【根拠】システム開発の世界には「Security by Design（セキュリティ・バイ・デザイン）」という超重要な原則があるお。これは「企画・設計の初期段階からセキュリティを組み込む」という考え方だお。あとから「あ、ここセキュリティ甘かったから直して」となると、手戻りのコストが莫大になるお。だから、情報システムのライフサイクル全般の責任者である「情報システムセキュリティ責任者」は、真っ先に（企画に着手するまでに）決めておかないといけないんだお！
統一基準ガイドライン 基本対策事項2.1.1(4)-6,「情報システムセキュリティ管理者」の役割について、正しい説明はどれだお？,情報システムセキュリティ責任者が定めた手順や判断に従い、所管するシステムのセキュリティ対策を実施する（技術的事項の補佐）。,情報システムセキュリティ責任者に代わって、組織全体のリソース配分や予算の決定権限を独自に行使する。,監査の独立性を保つため、システムに関与せず、外部から抜き打ちのペネトレーションテストのみを実施する。,業務効率化のため、セキュリティ対策の実施手順を自らの判断のみで自由に変更し、事後報告で運用する。,1,【結論】正解は1だお！責任者の右腕として、技術的な対策を実務レベルで実行する「現場の要」だお！ 【根拠】「管理者（Administrator/Manager）」は、責任者（責任を負うトップ）が定めたルールに従って、実際の運用を回す実務担当者のことだお！データベースやアプリケーションなど、システムは高度化・複雑化しているから、責任者一人で全ての技術的対策を実施するのは無理があるお。そこで、実務的な「技術的対策の実効性を確保する」ために、責任者を補佐する立場の「管理者」が必要になるんだお！あくまで「責任者の定めた手順」に従うのがポイントだお！
統一基準ガイドライン 遵守事項2.1.1(5)(a),統一基準ガイドラインにおける「最高情報セキュリティアドバイザー」の要件や設置方法について、正しい説明はどれだお？,外部の専門的知見を取り入れるため、機関等内の職員を充てることは禁止されており、必ず外部人材と契約しなければならない。,情報セキュリティに関する専門的な知識と経験（情報処理安全確保支援士など）を有し、CISO等への技術的な助言や支援を行う。,独立性を保つため、他の役職（情報セキュリティ責任者など）との兼務や、所管する独立行政法人のアドバイザーとの兼務は絶対に認められない。,助言に法的拘束力を持たせるため、アドバイザーの役割は「調達仕様書」にのみ記載し、内部規程からは除外しなければならない。,2,【結論】正解は2だお！CISOを技術面からガッチリ支える、資格と経験を持ったスペシャリストだお！ 【根拠】「アドバイザー（Advisor）」は「忠告する・助言する」という意味を持つお。高度化するサイバー攻撃に対抗するには、経営・マネジメント層であるCISOの判断を技術面からサポートする専門家が不可欠だお！だから、情報処理安全確保支援士のようなガチの資格と実務経験が求められるんだお。システム監査の観点から見ても、経営層に対する客観的かつ技術的な助言プロセスは内部統制上非常に重要で、君の得意分野と直結する概念だお！柔軟な組織運用が認められていて、内部の職員が他の責任者と兼務してもいいし、親組織のアドバイザーが子組織（独立行政法人など）を兼務して横串で支援することも推奨されているんだお！ 【注意点・例外】外部人材に限定されず、内部職員の登用も可能だお。
統一基準ガイドライン 遵守事項2.1.1(6)(a)等,統一基準ガイドラインにおいて整備が求められる「情報セキュリティ対策推進体制」の役割や位置づけとして、適切な説明はどれだお？,各部署が完全に独立して対策を行えるよう、組織横断的な調整は一切行わず、個別最適化のみを推進する。,統括情報セキュリティ責任者が担う実務を中心とした事務を遂行する体制として位置づけられ、委員会運営や脆弱性情報の共有なども担う。,外部機関からの調査依頼等には対応せず、内部の情報システムセキュリティ責任者の監査のみを専属で行う。,情報セキュリティ監査責任者の直下に配置され、監査実施者としての役割のみを専門に担う。,2,【結論】正解は2だお！統括情報セキュリティ責任者の「実務部隊」として、組織横断的な調整や支援を行うのが役割だお！ 【根拠】「対策推進体制」は、組織全体でバラバラになりがちなセキュリティ対策を横串で（組織横断的に）取りまとめる重要なハブ組織だお。統括情報セキュリティ責任者が担う総合調整の「実務」を担うチームとして位置づけるのが推奨されているお。委員会の運営や、NISC（国家サイバー統括室）からの連絡対応、さらには現場の情報システムセキュリティ責任者に脆弱性情報を提供するなど、全社的なサポートセンターのような役割を果たすんだお！ 【注意点・例外】役割は組織の特性に応じて必要な事項を追加・規定することが求められるお。
統一基準ガイドライン 遵守事項2.1.1(6)(b),「情報セキュリティ対策推進体制」の責任者に関するガイドラインの考え方として、適切なものはどれだお？,統括情報セキュリティ責任者が担う実務を中心とするため、必ず統括情報セキュリティ責任者本人を充てなければならない。,統括情報セキュリティ責任者を充てることが考えられるが、実際の組織構成等に応じてそれ以外の者を充てることも妨げられない。,客観性を保つため、最高情報セキュリティ責任者（CISO）又は最高情報セキュリティ副責任者のいずれかが直接兼務しなければならない。,外部の有識者からのみ登用することが義務付けられており、内部職員を責任者に充てることは禁止されている。,2,【結論】正解は2だお！基本は「統括情報セキュリティ責任者」がトップになるのが自然だけど、組織の実情に合わせた柔軟なアサインもOKだお！ 【根拠】推進体制は「統括情報セキュリティ責任者」の総合調整事務の実務部隊として機能することが想定されているから、そのまま統括情報セキュリティ責任者がトップ（責任者）に就くのが一番スムーズだお。でも、国の行政機関や法人によって組織の形は千差万別だお！だから「絶対にこの人でなければダメ！」とガチガチに縛るのではなく、実態に合わせて別の適切な人を充てる余地もしっかり残されているんだお。実務に即したガバナンスの考え方だお！ 【注意点・例外】統括情報セキュリティ責任者以外の者を充てることも妨げられないという柔軟性がポイントだお。
統一基準ガイドライン 遵守事項2.1.1(7)(a),情報セキュリティインシデントが発生した際、機関等に設置される「CSIRT」の役割として適切な説明はどれだお？,すべての事象が完全に解明されるまで一切の対応を保留し、証拠保全のみを専門に行う。,断片的な情報しかない状況でも情報を整理し、被害拡大防止や復旧などの対処を一元的に管理して幹部に報告する。,インシデント対応はすべて外部の警察機関に一任し、組織内部での対応は行わない。,最高情報セキュリティ責任者（CISO）の指示を仰がず、CSIRT単独で最終的な意思決定をすべて行う。,2,【結論】正解は2だお！完璧な情報が揃っていなくても、走りながら考え、迅速に事態を収束させるのがCSIRTの使命だお！ 【根拠】CSIRT（Computer Security Incident Response Team）の「Response（応答・対応）」は、火事場の初期消火を意味するお。サイバー攻撃などのインシデント発生直後は「何が起きているか全くわからない」という霧の中（断片的な情報しかない状況）からのスタートになるお。それでも被害拡大を防ぐために、一元的に情報を集約し、CISO（指揮官）に報告を上げながら対処を進める実動部隊が必要不可欠なんだお！
統一基準ガイドライン 遵守事項2.1.1(7)(b),「CSIRTに属する職員等」の構成について、ガイドラインが想定している適切な考え方はどれだお？,セキュリティの高度な専門知識を持つ情報システム部門の職員のみで構成しなければならない。,必要な知識を持つ者が不足している場合は他部門の職員を充てることもでき、対外的な対応に備えて広報担当者を含めることも考えられる。,他部門の職員をCSIRTに参加させることは、業務のサイロ化を防ぐため「職務命令」を出さずに非公式に行うべきである。,インシデント対応の迅速化のため、個々のシステムの管理者やネットワーク構成を知る現場担当者は意図的に除外する。,2,【結論】正解は2だお！技術者だけでなく、広報など多様なメンバーを集めて「総力戦」で立ち向かう体制が求められるお！ 【根拠】重大なインシデント（大規模な情報漏えいなど）が起きると、システムの復旧（技術的対応）だけでなく、「世間への発表・謝罪」という対外的な対応（広報）が絶対に必要になるお。だから、CSIRTには技術者だけでなく広報担当なども組み込むことが推奨されているんだお。他部門から人を呼ぶときは、本来の業務と板挟みにならないよう、しっかり「職務命令（兼任）」として公式に活動できるお墨付きを与えることが大事だお！
統一基準ガイドライン 遵守事項2.1.1(7)(b),「CSIRT責任者」と最高情報セキュリティ責任者（CISO）の関係性について、重大なインシデントが発生した際の対応として正しいものはどれだお？,CSIRT責任者が全権を掌握し、CISOは一切の指揮から外れる。,CISO自らが対処する必要がある重大事案では、CSIRT責任者はCISOの指揮監督の下で必要な対応を行う。,CSIRT責任者は直ちに外部の専門ベンダーに全権を委譲し、対応から手を引く。,CSIRT責任者とCISOは互いに独立して別々の対策本部を立ち上げ、並行して対処を行う。,2,【結論】正解は2だお！通常はCSIRT責任者が仕切るけど、ヤバい時（重大インシデント）はトップ（CISO）が直接指揮をとるお！ 【根拠】インシデント対応の基本は「エスカレーション（上位への報告と権限の引き継ぎ）」だお。小規模なボヤ騒ぎならCSIRT責任者の判断で処理できるけど、組織の存続に関わるような大火事（重大なインシデント）になったら、経営・組織のトップであるCISOが自ら直接リーダーシップを取るよう統一基準で定められているお。その際、CSIRT責任者はCISOの強力な手足となって指揮監督の下で動くんだお！
統一基準ガイドライン 遵守事項2.1.1(7)(b),「CSIRT内の業務統括及び外部との連携等を行う職員等」の配置について、ガイドラインで望ましいとされている形態はどれだお？,責任の所在を明確にするため、必ず1人の職員にすべての統括業務を集中させる。,いわゆる「総括班」のような位置付けで、複数名を置くことが望ましい。,内部の職員ではなく、すべて外部のコンサルタントに業務統括を委託する。,CSIRT責任者と同等の権限を持たせ、独自の判断で外部機関と自由な契約を結べるようにする。,2,【結論】正解は2だお！連絡網のハブになる重要な役割だから、複数人で「総括班」を作るのがベストだお！ 【根拠】インシデント発生時は、内部の各部署や外部の専門機関（NISCや警察など）との連絡調整が爆発的に増えるお。これを1人だけで回そうとすると、その人がボトルネック（弱点）になって対応全体がストップしてしまう危険があるお。だから、業務や連絡を一元管理するポジションには、複数人をアサインして「総括班」のようなチームとして機能させることが望ましいとされているんだお！
統一基準ガイドライン 遵守事項2.1.1(7)(c),CSIRT責任者が「自ら所管する情報システム」のインシデントを認知した場合のリスクと、その対策として適切なものはどれだお？,システムの構造を熟知しているため最も迅速に対応できる。対策として、他の幹部への報告を省略する権限を与える。,「利害相反」により幹部への報告遅延や隠蔽のおそれがある。対策として、CSIRT責任者に情報セキュリティ責任者以外の者を充てるなどの経路を確保する。,外部からの攻撃対象になりやすい。対策として、CSIRT責任者の氏名を完全に非公開にする。,過労による判断ミスが起きやすい。対策として、インシデント発生時は直ちに休暇を取得させる。,2,【結論】正解は2だお！自分のミスを隠したくなる「利害相反」を防ぐためのガバナンスの仕組みだお！ 【根拠】システム監査技術者としての知見が光る「職務の分離（セグリゲーション・オブ・デューティ）」の考え方だお！もし自分が責任を持って運用しているシステムでインシデントが起きたら、「怒られたくない」「自分の評価が下がる」という心理（利害相反関係）が働いて、トップへの報告を遅らせたり、被害を小さく見せかけたりするリスクがあるお。これを防ぐため、当事者とは別のルートで幹部に報告が上がる客観的な体制を作ることが絶対条件なんだお！
統一基準ガイドライン 遵守事項2.1.1(7)(d),国の行政機関において政府一体となった対応が必要なインシデントを取り扱う「CYMAT」の主な機能として、適切でないものはどれだお？,発生事象の正確な把握,被害拡大防止や復旧のための技術的な支援及び助言,対処能力の向上に向けた平常時の取組（研修、訓練等の実施）,サイバー攻撃の実行犯に対する法的な逮捕状の請求や刑事告発の直接実施,4,【結論】正解は4だお！CYMATは技術的な「支援チーム」であって、警察のような捜査・逮捕権限を持つ組織ではないお！ 【根拠】CYMAT（Cyber Incident Mobile Assistant Team）は、大規模なサイバー攻撃が起きた際に、各省庁（例えば虎ノ門の各機関など）の壁を越えて政府一体で対応するための「技術支援のプロ集団」だお。機能は大きく分けて3つ。「①正確な状況把握」「②技術的な支援・助言（復旧や再発防止）」「③平常時の訓練・研修」だお。犯人を捕まえるのはサイバー警察の仕事であり、CYMATの機能ではない点をしっかり区別しておくお！
統一基準ガイドライン 遵守事項2.1.1(7)(d),「CYMAT要員」や「CYMAT研修員」となる職員に求められる要件や育成の考え方として、適切なものはどれだお？,CYMAT要員になるためには、国家資格である情報処理安全確保支援士の資格取得が必須条件となっている。,セキュリティに関する特定の資格は求めていないが、基礎的な知識を持つことや、NISC等への登録を通じて訓練・研さんに励むことが望ましい。,CYMAT研修員は、すでに民間企業でCSIRT責任者の経験がある中途採用者に限定されている。,育成の観点から、国の行政機関の全職員が例外なく1度はCYMAT研修員として登録されなければならない。,2,【結論】正解は2だお！特定のガチガチの資格より、「基礎知識」と「やる気（研鑽）」を重視して人を育てていく仕組みだお！ 【根拠】CYMATは国の重要なサイバー防衛部隊だけど、要員になるための「必須資格」はあえて設けていないお。それよりも、基礎知識を持った職員を内閣官房の併任（別の組織の役職も兼ねること）という形で迎え入れ、国のお金で充実した訓練・演習を受けさせて「実戦的なレスポンス能力」を組織内に育成していくことが最大の狙いなんだお！将来の候補生である「研修員」も含め、意欲ある職員をどんどん登録することが推奨されているお！
統一基準ガイドライン 基本対策事項2.1.1(7)-1 a),CSIRTが機関等全体で管理する「情報セキュリティインシデント対処のプロセス」に含まれないものはどれだお？,トリアージ（インシデントであるか否かの評価、優先度付け等）,インシデントレスポンス（応急措置の実施、原因調査、復旧等）,報告／情報公開（報道発表等の対外対応）,情報システムの新規要件定義および本番環境への実装作業,4,【結論】正解は4だお！CSIRTは「火消し役」であって、システムそのものをゼロから作る「大工さん」ではないお！ 【根拠】インシデント対処のプロセスは、病院の救急救命室（ER）をイメージするとわかりやすいお！「①検知／連絡受付（119番通報を受ける）」、「②トリアージ（重症度を判定して順番を決める）」、「③インシデントレスポンス（応急処置や手術をして治す）」、「④報告／情報公開（家族やメディアに状況を伝える）」。これがCSIRTの基本プロセスだお。選択肢4のような「システムの新規開発作業」は、システム開発部門やベンダーの仕事であってCSIRTの対処プロセスには含まれないお！
統一基準ガイドライン 基本対策事項2.1.1(7)-2,実効性のあるCSIRT体制を構築するため、ガイドラインで「複数含める必要がある」と明記されているのはどのような職員だお？,内閣官房国家サイバー統括室の専従職員,被害拡大防止や復旧等の対策を現場で実施し得る「実務担当の職員等（課長補佐以下の者など）」,独立行政法人の理事長や指定法人の役員クラス,外部のセキュリティ監査を専門とする公認会計士,2,【結論】正解は2だお！指示を出すだけの幹部だけでなく、実際に手を動かして火を消す「現場の実働部隊」が複数人必須だお！ 【根拠】CSIRTは、いざという時に「最高情報セキュリティ責任者（CISO）への早急な報告」と「被害拡大防止・復旧」を同時並行でやらなきゃいけないお。役職者ばかりが集まっても、実際にサーバーのネットワークを遮断したり、ログを解析したりする実務ができなければ意味がないお。だから、国の行政機関でいうところの課長補佐クラス以下の「実務担当者」を複数体制に組み込むことが、実効性（絵に描いた餅にしないこと）の担保として強く求められているんだお！
統一基準ガイドライン 基本対策事項2.1.1(7)-3,「外部の専門家等による必要な支援を速やかに得られる体制」の構築例として、ガイドラインが挙げている適切な方法はどれだお？,インシデントが発生した直後に、インターネットの掲示板等で匿名の専門家に助けを求める仕組みを作ること。,事案への対処に精通した専門家を速やかに派遣してもらうための契約を、あらかじめ事業者と結んでおくこと。,外部の専門家を一切排除し、完全に組織内部の職員のみで自己完結できるマニュアルを整備すること。,専門家への相談費用を節約するため、インシデントの規模にかかわらず最初は必ず無料のチャットボットに相談する手順にすること。,2,【結論】正解は2だお！有事の際に慌てて探すのではなく、平時から「すぐ駆けつけてくれる契約」を結んでおくことが超重要だお！ 【根拠】インシデント発生時は1分1秒を争うお！火事になってから消防署を探して料金交渉をしていては全焼してしまうお。サイバー空間でも同じで、専門のセキュリティ事業者と「インシデント発生時は〇時間以内に専門家を派遣する」といった事前契約（SLAやリテーナー契約と呼ばれるお）を結んでおくことが、被害を最小限に抑えるための極めて有効な「体制構築」の例として挙げられているんだお！
統一基準ガイドライン 基本対策事項2.1.1(7)-4,インシデント発生時の関係部局（CSIRT、当事者部局、広報等）の「役割分担」に関するガイドラインの規定として、適切なものはどれだお？,発生頻度が比較的高いと考えられるインシデントを想定してあらかじめ役割を定め、必要に応じて再設定することも考えられる。,あらゆる未知のインシデントに完璧に対応するため、一切の例外を認めない固定化された役割分担マニュアルを1種類のみ作成する。,インシデントの規模や種類によって対応は変わるため、事前には一切の役割分担を定めず、発生時の直感的な判断に委ねる。,役割分担はCSIRT内部のメンバー間でのみ規定し、広報や調達などの関連部局との役割分担は規定してはならない。,1,【結論】正解は1だお！「よくあるパターン」で基本の動きを決めておき、状況に合わせて柔軟にフォーメーションを変えるのが正解だお！ 【根拠】サイバー攻撃は日々進化していて、どんなインシデントが起きるか完全に予測することは不可能だお。だからといって何も決めていないとパニックになるお。そこでガイドラインでは、「マルウェア感染」や「メール誤送信」など「発生頻度が高いもの」をベースにまず基本の役割分担（プレイブックと呼ばれる手順書など）を決めておくことを求めているお。その上で、実際の被害規模に応じて「今回は広報部を厚めにしよう」など柔軟に再設定（アジャイルな対応）をしていくのがベストプラクティスなんだお！
